MIR4751
KB-1836B5.1
RP5-965G21.6
RF00105
RP11-326C3.2
MCCD1P1
MIR6890
RNA5S14
MIR6513
RP11-134P9.1
RNU6-711P
RNA5SP106
MIR3916
NEK10
RP11-778J16.1
MIR3960
RF00322
TMEM154
MIR6748
LZTS3
HIST1H2BN
MIR4741
PABPN1L
MIR3610
FHL3
MIR1306
RP11-96K19.2
RF00443
SNORD109A
MIR3181
MIR4691
AC136289.1
AC016712.1
SNORA16A
RP1-253P7.4
MIR2861
AC002553.4
ADAMTSL4
MIR6805
SLC9C1
AC074389.9
SNORD116-20
MYOM2
MIR4775
RP13-539F13.2
SNORD56
C19orf73
DLG5
SNORA3A
RBM44
SNORD54
RF00019
RF00019
SNORD52
RP11-73M7.9
BHLHA9
SNORD107
RP11-196I18.2
MIR6764
RP4-593C16.2
MIR7109
RP11-366M4.1
RP11-555G19.2
KB-67B5.12
SNORD49A
NR4A3
MIR6751
PROK2
LINC00304
RP11-707O23.1
MIR6849
MIR6501
C22orf24
MIR4700
MIR219A1
SNORA50A
TRABD2A
SLC47A1
RF02166
RP11-281P23.1
RNA5SP463
MIR8072
MIR4745
RP11-143J12.2
RP11-140I16.3
MIR6800
RP11-384K6.6
RP11-112N19.2
MIR6079
HIST1H4F
MIR4444-1
SNORD96A
RP11-337N19.1
C15orf59
MIR4680
RNU6-576P
SNORD19B
ALDH3B1
RF00019
MIR4750
RP11-933H2.4
MIR1825
CLK1
PDE3B
SNORD110
RP13-39P12.2
MIR7113
RP11-141J13.4
CCDC184
RF00494
MIR6840
AC011899.9
FAM183B
MIR6837
RPS17P5
MIR6516
RF02130
MIR21
RP11-195L15.2
RP11-36B15.1
MIR564
ZNF230
SNORD45B
RSC1A1
MIR4712
MIR4536-1
SNORA17B
CXADR
MIR3654
AC138649.1
TRBV6-8
MIR6741
RP4-665J23.4
MIR4785
DENND5A
SNORD38B
PRRG4
MIR6808
IFNL4
PTP4A3
MIR4657
RP1-155G6.4
LA16c-360A4.1
MIR3656
SNORD108
RP11-635L1.2
APOC1P1
MIR2110
RP11-134K13.4
MIR423
MIR6758
RNU6-603P
GCSAML-AS1
SNORD42A
C19orf80
SKOR1
hsa-mir-3607
MIR1292
RP11-531A24.7
HMSD
MIR6869
SDHAP2
MIR3064
SNORA22C
SNORA17A
TAS2R60
C17orf49
MIR4709
MIR4257
SNORD116-21
CTC-268N12.2
MIR6834
AC006230.3
MIR4315-2
RP11-640B6.1
MIR17HG
SNORD57
CTD-3105H18.18
MIR6831
RP13-20L14.4
MIR596
MIR632
MIR6742
RP11-707A18.1
RF00012
SNORD73A
RP5-1112D6.4
RP11-466A19.7
SNORD49B
SYNE2
SNORD38B
LATS2
MIR6733
KLHDC7B
RF00407
LY6K
MIR155
RP11-333J10.3
AC004893.10
MIR3620
