LTR40A
LTR1F1
LTR15
MLT2E
FLAM
HERV1_LTRb
AluYd8
L1M3C_5
L1M2A_5
RMER10B
AluYf1
MIR3
MER101_I
LTR82B
AluYb8
HARLEQUIN
AluSx1
LTR37B
HAL1
AluYe2
MER110I
LTR65
LTR40C
AluYc1
LTR16A1
PrimLTR79
L3
L1ME3E_3end
AluYd2
LTR2
LTR2B
LTR24C
AluY
L1MC4_5end
CR1L
AluYd3
PABL_AI
AluYb8a1
LTR1D1
LTR16B
LTR18A
MER92C
X21_LINE
AluSg
LTR28
L1MD1_5
L1MC4
SVA_A
MLT1L
L1ME3C_3end
AluYe5
LTR22A
AluYb3a2
L1MB6_5
LTR16B1
MIR
LTR12E
AluJr4
L1M6_5end
L1MCB_5
LTR38C
X2_LINE
AluSc8
AluYc5
HERV1_I
MLT1E
X5A_LINE
AluSq4
MER51D
AluYf2
AluYa5
L1MB3_5
LTR1B0
MLT2F
AluJo
MER51C
MLT1N2
L1MC5
AluYc2
LTR60
AluSx3
L1MC3
X5B_LINE
LTR21C
LTR2752
L1MEe_5end
AluYk11
L2B
L1MDA_5
LTR87
LTR71A
AluYbc3a
UCON3
AluYk12
L1MEf_5end
HERVK3I
L4
LTR7Y
AluYg6
MER83C
LTR22B
AluSp
HERV-Fc2
AluSx4
LTR39
LTR53
AluSq
L1ME3
AluYa1
IN25
AluSg4
MER83B
AluSz
L1M7_5end
AluSq10
MLT2C2
AluSc5
LTR80A
MLT1I
AluYi6
X17_LINE
MER52A
L1MC4B
LTR22B2
AluSg7
L1MEB_5
L1M3D_5
AluYd3a1
LTR10B
AluJb
LTR1
L1MB7
AluYb3a1
L1MA9_5
LTR1B1
AluYb11
MER68A
LTR81AB
MER52D
SVA_F
LTR58
AluYh9
MLT1F1
AluSq2
L1MD3
AluSz6
LTR1A2
L1MC1
AluYk13
MER83BI
AluSc
MER67B
LTR1C
L1MD2
LTR33C
MER34-int
AluSg1
L1ME2
SVA_D
LTR10B2
MER21C_BT
LTR22B1
L1MB8
PB1D11
AluYa8
AluYb9
LTR33A
LTR35A
L1MC2
SVA_C
AluYb10
L1MB2
MER61C
LTR1F
LTR1C3
SVA_B
L1MB4
L1MA5
MER76-int
LTR10B1
AluYa4
LTR56
LTR43_I
LTR13
LTR79
L1MB3
L1ME1
HERVK13I
LTR24
AluJr
LTR31
LTR26E
FAM
LTR1D
LTR85a
MLT2D
LTR40A1
MLT1F
HERVL74
SVA_E
