hsa-miR-6746-3p
hsa-miR-539-3p
hsa-miR-3173-5p
hsa-miR-515-3p
hsa-miR-874-5p
hsa-miR-3175
hsa-miR-7160-5p
hsa-miR-4799-3p
hsa-miR-30a-5p
hsa-miR-4634
hsa-miR-378b
hsa-miR-361-3p
hsa-miR-6845-3p
hsa-miR-4485-3p
hsa-miR-3661
hsa-miR-653-3p
hsa-miR-3201
hsa-miR-135b-5p
hsa-miR-34b-3p
hsa-miR-4649-3p
hsa-miR-301b-5p
hsa-miR-6887-5p
hsa-miR-30a-3p
hsa-miR-34c-5p
hsa-miR-877-5p
hsa-miR-4787-5p
hsa-miR-4766-3p
hsa-miR-4652-3p
hsa-miR-4484
hsa-miR-210-5p
hsa-miR-218-5p
hsa-miR-199b-5p
hsa-miR-342-5p
hsa-miR-4769-3p
hsa-miR-4714-5p
hsa-miR-376b-3p
hsa-miR-30c-2-3p
hsa-miR-877-3p
hsa-miR-3125
hsa-miR-296-5p
hsa-miR-6798-3p
hsa-miR-7114-5p
hsa-miR-1468-5p
hsa-miR-374c-5p
hsa-miR-345-3p
hsa-miR-6876-3p
hsa-miR-4298
hsa-miR-599
hsa-miR-6514-3p
hsa-miR-196b-3p
hsa-miR-3679-3p
hsa-miR-548am-3p
hsa-miR-1273e
hsa-miR-27a-3p
hsa-miR-365b-3p
hsa-miR-6889-5p
hsa-miR-150-5p
hsa-miR-1247-5p
hsa-miR-660-5p
hsa-miR-199a-3p
hsa-miR-744-5p
hsa-miR-6723-5p
hsa-miR-451a
hsa-miR-511-3p
hsa-miR-299-5p
hsa-miR-4440
hsa-miR-6503-3p
hsa-miR-6792-5p
hsa-miR-4747-5p
hsa-miR-7113-5p
hsa-miR-223-3p
hsa-miR-10b-5p
hsa-miR-1471
hsa-miR-511-5p
hsa-miR-5685
hsa-miR-4783-3p
hsa-miR-3154
hsa-miR-27b-5p
hsa-miR-7106-5p
hsa-miR-6846-5p
hsa-miR-365a-3p
hsa-miR-548a-3p
hsa-miR-708-3p
hsa-miR-1915-3p
hsa-miR-489-3p
hsa-miR-223-5p
hsa-miR-6823-5p
hsa-miR-6848-3p
hsa-miR-129-2-3p
hsa-miR-551b-5p
hsa-miR-199b-3p
hsa-miR-6821-3p
hsa-miR-144-3p
hsa-miR-6894-5p
hsa-miR-216a-5p
hsa-miR-653-5p
hsa-miR-155-5p
hsa-miR-4457
hsa-miR-665
hsa-miR-6737-5p
hsa-miR-708-5p
hsa-miR-340-3p
hsa-miR-3678-5p
hsa-miR-3915
hsa-miR-6883-3p
hsa-miR-651-5p
hsa-miR-6784-3p
hsa-miR-4696
hsa-miR-338-3p
hsa-miR-6848-5p
hsa-miR-922
hsa-miR-4677-3p
hsa-miR-95-3p
hsa-miR-6749-5p
hsa-miR-548ay-3p
hsa-miR-8073
hsa-miR-6722-5p
hsa-miR-548ap-5p/548j-5p
hsa-miR-3195
hsa-miR-1228-3p
hsa-miR-874-3p
hsa-miR-5010-5p
hsa-miR-23a-5p
hsa-miR-219b-3p
hsa-miR-4738-5p
hsa-miR-1228-5p
hsa-miR-6793-3p
hsa-miR-378i
hsa-miR-5580-3p
hsa-miR-127-5p
hsa-miR-454-3p
hsa-miR-6881-3p
hsa-miR-6089
hsa-miR-423-5p
hsa-miR-6740-5p
hsa-miR-193b-5p
hsa-miR-128-2-5p
hsa-miR-4724-3p
hsa-miR-1275
hsa-miR-324-5p
hsa-miR-4741
hsa-miR-8071
hsa-miR-4478
hsa-miR-642a-5p
hsa-miR-3923
hsa-miR-4632-3p
hsa-miR-138-5p
hsa-miR-6840-3p
hsa-miR-485-3p
hsa-miR-629-5p
hsa-miR-3064-5p
hsa-miR-4463
hsa-miR-4480
hsa-miR-6807-5p
hsa-miR-4731-3p
hsa-miR-381-3p
hsa-miR-4753-3p
hsa-miR-3653-3p
hsa-miR-4757-3p
hsa-miR-4451
hsa-miR-548t-5p
hsa-miR-6743-3p
hsa-miR-6760-3p
hsa-miR-150-3p
hsa-miR-6864-3p
hsa-miR-199a-5p
hsa-miR-573
hsa-miR-181d-3p
hsa-miR-1290
hsa-miR-136-3p
hsa-miR-6765-5p
hsa-miR-212-5p
hsa-miR-190a-5p
hsa-miR-6874-3p
hsa-miR-7854-3p
hsa-miR-4533
hsa-miR-144-5p
hsa-miR-548aq-3p
hsa-miR-4764-3p
hsa-miR-3122
hsa-miR-520d-3p
hsa-miR-1178-3p
hsa-miR-655-3p
hsa-miR-4438
hsa-miR-505-5p
hsa-miR-6512-5p
hsa-miR-4469
hsa-miR-301a-5p
hsa-miR-1231
hsa-miR-4638-5p
hsa-miR-6869-5p
hsa-miR-574-5p
hsa-miR-6805-3p
hsa-miR-146b-3p
hsa-miR-4285
hsa-miR-455-5p
hsa-miR-670-3p
hsa-miR-134-5p
hsa-miR-4765
hsa-miR-6778-5p
