RBM4
ZMYND8
ZDHHC20
NT5C2
VWA8
KIF9-AS1
ANKRD36
CTPS2
DERL1
LNCAROD
BCL11A
""
""
USP48
ZNF638
IKZF1
MCTP1
ANKRD36B
TMEM38B
SF1
SPAG16
REPS1
DNAAF5
PUM2
LRIG1
TIMD4
RPS6KA5
FOCAD
EPS15
NEK1
ATF7IP
KIF23
PRR14L
KCNQ5
BTBD8
RACK1
""
AF117829.1
TANC1
USP25
DPPA4
INVS
SMYD4
VPS8
RLF
NRIP1
CREBBP
USP22
DCAF17
BMP2K
TKT
LRRFIP1
NFATC3
CD109
PRR12
GCC2
BEND3
AGO3
FAM208B
RERE
NEAT1
VPS13D
SCAMP1
RNF24
""
UBN2
VPS8
CDK13
PSMD14
NCAPG
NRIP1
LIMK1
PTAR1
SHQ1
OSBPL9
PKM
GPALPP1
FAM13B
TLK1
RPN1
NFATC2
NT5C3A
BARD1
TRGC2
LMNB1
DMC1
SUPV3L1
""
WDR43
PTPN6
INTU
TOP2B
LIN54
NEMF
FAM13B
ATXN2
LNPEP
DLEU2
TOM1L1
NUP62CL
NBAS
TAF6L
HELZ
NMT1
SCARB1
RC3H2
ANKRD46
HFM1
CNOT4
BACE2
ZMYM2
SPIDR
DNMT1
""
MAN1A1
MCTP1
VAV2
TASP1
FBXW4
MPO
AC090517.5
""
RARS
LMBRD1
BRCA1
MBNL1
EIF2AK4
NPAT
PCNT
METTL8
BACH2
SENP1
DCAF6
LRMDA
EIF4B
AFF3
CRIM1
MALAT1
NF1
NUP54
ATP9B
SH3KBP1
MBOAT2
ATM
FRY
NIN
TRRAP
ZCCHC8
PROM1
ASPM
TERT
ELK4
ETV6
SDCCAG8
DENND1B
MTM1
TBL1XR1
PCBP1-AS1
UBE2Z
TAB2
""
DNM2
DDI2
VPS53
KANSL3
SCAPER
SNX14
SETBP1
GOLPH3L
USP10
GIGYF2
PICALM
TMEM181
PAK1IP1
NCOA6
BIRC6
PRKG2
AKNA
BAALC-AS1
PAPOLG
SATB1
""
UBR2
IKZF1
APBB1IP
PTBP3
RAB27B
RAD50
ANKRD36C
RC3H2
C17orf67
FARSA
DLG1
MBOAT2
DYM
ZNF90
RFX7
NOM1
ZNF652
WRNIP1
