LRIG1
LRBA
""
KIF9-AS1
AGO3
METRNL
SF1
VIM
ASPM
WWOX
BAZ1B
KDM3B
IFT81
SWT1
UBN2
IFI16
MAN1A1
TEX9
UCK2
PRDM10
HNRNPF
HECTD1
CALM2
CERS5
""
HNRNPUL1
CDK11A
BBS7
STAG1
PPID
MBOAT2
C6orf89
SMARCA2
EIF2AK2
HBS1L
RAB23
PTPDC1
C7orf55-LUC7L2
SPATA5
FBXL17
GLS
SH2D4B
EGFEM1P
""
OSBPL9
""
NAALADL2
KIAA1549
FIP1L1
EP400P1
SETX
PNRC1
UBE3A
MALAT1
TMEM161B-AS1
KDM3B
STRN3
REST
SYS1-DBNDD2
SLC12A7
INPP5A
KAT6A
DDHD2
PPP6R3
CNOT11
TOPBP1
VRK2
IGHG3
""
GNB1
NFATC1
BICRAL
PPA2
GLMN
TPR
WDR19
EZR
VAV1
IFT81
N4BP2L2
ATP8A1
NRF1
DHX8
EXOSC9
EBF1
""
""
BRD1
TES
SSBP2
CCDC77
OSBPL9
EMC1
HS6ST1
GIT2
FAM216A
EML5
GALNT2
KIAA1549
REST
NCOA3
GIGYF2
GAB1
TRPM7
FAM193A
SMYD3
SACM1L
SOS2
AC063944.1
RAD50
FHIT
RMST
RABGAP1
TOP2B
VPS8
PAK1IP1
GNA12
STT3B
SSRP1
CFLAR
SEC23A
DNA2
MEGF6
CEP112
BRD1
GRB10
DNMT1
KMT2E
CIRBP
UBAP2
AMN1
CREBBP
ANKFY1
TOP2B
STK17B
VPS13D
NIN
TOP2B
NIPSNAP2
RCC2
TPX2
C2CD5
JAK2
DNAAF5
CSGALNACT1
ZNF559-ZNF177
RCC2
STAM2
""
SLC12A6
TKT
ATP9B
UBR4
BRIP1
FAM172A
MYO16
CUX1
SNX14
MNT
MALAT1
NCOR1
PAPOLG
ANKHD1
CCDC18
C2CD5
""
TMCO4
AC090360.1
HELLS
CDC42BPB
""
ATAD2B
MTHFR
FIP1L1
TBL1XR1
WDR37
PRDM16
PHC3
ST3GAL1
AGO3
TMCO4
""
TNRC18
PHF13
SIPA1L3
EIF4G3
SF3A3
MCM8
""
PCNT
OSBPL9
HSP90AB1
RUFY2
MAD1L1
KIF1B
SCMH1
SGK3
DAB1
CCDC18
PIKFYVE
