LRRTM2
MIR4751
MYO16
SPATA18
RP11-379H8.1
RP11-635L1.2
MIR6890
RNA5SP463
C12orf79
MIR6513
LZTS3
MIR3916
KIAA1683
MIR3960
RP11-337N19.1
RP11-106D4.2
MIR6748
CTD-3214H19.4
MIR4741
H3F3B
MIR3610
TCEAL6
MIR3918
MIR1306
JUND
FNDC9
SNORD109A
RP11-726G1.2
MIR4691
RELL1
RP11-462G22.2
SNORA16A
RN7SL330P
MIR2861
AC016772.4
MIR6805
RP11-36B15.1
FOLR3
SNORD116-20
RP11-394O9.1
MIR4775
ERMN
TP53AIP1
SNORD56
RP3-403L10.3
SNORA3A
MIR6891
SNORD54
RNU6-603P
SNORD52
DNAJB5
RF00019
SNORD107
RP11-327L9.1
MIR6764
XXbac-BPG27H4.7
MIR7109
RP11-37C7.2
SNORD49A
SKOR1
MIR6751
RP11-613F22.8
CTD-2651B20.6
MIR6849
RP1-257I20.13
MIR6501
DUSP8
MIR4700
RP11-403N16.4
SNORA50A
CTD-2260A17.3
H3F3C
RF02166
LINC00960
MIR8072
HIP1R
MIR4745
RP11-473L15.3
MIR6800
ARRDC3
MIR6079
AC004893.10
MIR4444-1
MAPRE3
IGHVII-65-1
SNORD96A
RP4-657D16.6
MIR4680
RP11-44N11.1
SNORD19B
NKX3-1
MIR4750
SKIL
MIR1825
RP11-434C1.5
AC019201.1
SNORD110
CTB-83J4.1
MIR7113
RP11-403N16.3
RF00494
TP53INP2
RP5-1139B12.4
MIR6840
TMEM121
MIR6837
LINC01163
MIR6516
FAM183B
AC006039.4
MIR21
AC016735.2
MIR564
SNORD45B
ARID5A
MIR4712
AC010492.2
RN7SL116P
SNORA17B
RP4-593C16.2
MIR3654
NR4A3
SCARNA9
MIR6741
NEK10
MIR4785
SNORD38B
CHRM4
PALLD
MIR6808
RN7SKP64
MIR4657
RP11-697M17.1
MIR3656
SMDT1
RP5-983L19.2
SNORD108
MIR2110
RPS2P1
H1FX
MIR423
MIR497
MIR6758
SLC7A3
SNORD42A
LY75-CD302
RP11-325I22.3
hsa-mir-3607
SAPCD1
MIR1292
SNORD13E
MIR6869
C19orf45
MIR3064
SIK3
SNORA17A
RP11-30K9.4
MIR4709
FEM1C
SNORD116-21
IL13
MIR6834
BTG1
MIR4315-2
C4orf19
RNU1-51P
SNORD57
OSCP1
MIR6831
RP11-19G24.1
MIR632
CREB5
MIR6742
KMT2E
SNORD73A
RN7SL717P
SNORD49B
RP11-1252D15.1
SNORD38B
IGHVIII-44
MIR4694
MIR6733
RP11-221E20.4
RF00407
MIR155
ATP2B1
MIR3620
ARHGEF26
VASN
MIR4315-1
RNU6-47P
MIR1181
RP11-37C7.1
SNORD86
RP1-253P7.4
SNORD35A
TSPYL2
SNORD25
RF01684
STK19
