L1M3C_5
L1P4b_5end
MLT2E
MER92C
HERV-Fc1
LTR18A
L4
L1MD1_5
MER88
X5A_LINE
LTR75
MLT1N2
MLT1I
LTR28
LTR85a
LTR47B
LTR1D1
X5B_LINE
L1M7_5end
AluSx1
L1MED_5
LTR70
X21_LINE
MLT1G
MIR3
MER51E
LTR2
AluYd3
MLT1K
MER65C
L1ME4
MLT2F
LTR16A1
MER54B
L1MCC_5
L1M3DE_5
LTR38C
L1P4c_5end
L1MC4_5end
LTR26E
MER57E3
LTR39
L2
LTR65
LOR1b_LTR
LTR10B1
MER57E1
LTR41B
L1ME3E_3end
MER83C
X6B_LINE
MER68B
MER21
MER34D
LTR24
FLAM
LTR54B
X1_LINE
MER90a_LTR
MER57C1
HERVL74
AluJo
LTR51
MER34-int
AluJr4
LTR34
MER9B
AluSq4
MER21B
MER66D
THER2
MLT1L
L1MB4_5
X17_LINE
LTR31
LTR40C
L1MEE_5
HERVK3I
AluYb11
L1MEe_5end
AluSg4
CR1_Mam
HARLEQUIN
LTR60B
LTR36
MER34A
LTR22C0
LTR79
L1ME3C_3end
AluYb8a1
HERVE_a
L1MCB_5
MIRb
RMER10B
LTR54
AluYh9
MER74C
HERV1_LTRb
SVA_D
MER50C
X20_LINE
L1PA17_5
LTR16
MER66A
LTR25
MLT1E
LTR33B
SVA_E
LTR53
PABL_A
LTR4
LTR71A
LTR14C
AluYd2
MER89I
LTR1
MLT1J1
PABL_AI
MLT2D
MER57F
AluSp
HERVS71
LTR27E
AluJb
LTR47A2
LTR52
AluYc5
L1M3D_5
PABL_BI
L1M2A1_5
AluYk11
LTR69
AluSx3
X6A_LINE
MER57B2
SVA_B
MLT1J-int
SVA_F
L2C
HUERS-P1
MER87
MLT1H
LTR1F1
L1ME3
MLT1H2
LTR75_1
LTR40A1
L1PA12_5
LTR53B
LTR13
LTR21C
MER57D
LTR61
MER65D
AluYe5
AluSq10
MLT1J2
LTR16B1
LTR26
AluSq
AluYf1
MER34C2
AluYg6
MLT1J
MER4CL34
LTR60
LTR67B
AluYbc3a
LTR64
LTR3A
L1M6_5end
L1ME4A
MER74B
AluSc8
HERV-K14CI
L1ME2
LTR37B
AluSg1
MER65B
LTR58
AluSx4
MER101
L1MC4
AluSg7
MER34A1
LTR21A
HERVL66I
LTR77B
AluSz
HERVK22I
MER41E
L1MEA_5
LTR2B
FAM
AluYa8
LTR40A
LTR81AB
MER72B
AluSq2
LTR45
