MIR4751
P2RY11
RP11-300M6.1
RP1-16A9.1
RP5-823G15.5
MIR6890
MIR6513
BMPR1APS2
MIR3916
LBH
MIR3960
CH507-145C22.1
MIR6748
MIR4741
ZNF541
MIR3610
MIR1306
THRB
SNORD109A
RP11-123K3.4
MIR4691
SNORA16A
UCN
MIR2861
MIR6805
RP11-446H18.5
SNORD116-20
MIR4775
LINC01138
SNORD56
SNORA3A
MIR524
SNORD54
SNORD52
DECR2
SNORD107
AC044860.1
MIR6764
MIR7109
RP11-799B12.4
SNORD49A
MIR6751
MIR6849
MIR6501
OGG1
MIR4700
SNORA50A
RF02166
RN7SL48P
RN7SL524P
MIR8072
MIR4745
MIR6800
RP11-432J24.3
MIR6079
AC084082.3
MIR4444-1
SNORD96A
MIR4680
PLPPR2
SNORD19B
PHLDB2
MIR4750
MIR1825
CTD-2639E6.4
SNORD110
MIR7113
RF00494
TNFRSF8
MIR6840
OR8R1P
MIR6837
MIR6516
AC073465.2
MIR21
MIR564
AC087590.3
SNORD45B
MIR4712
RP11-370I10.11
SNORA17B
MIR3654
MIR6741
MIR4785
RNA5SP523
SNORD38B
MIR6808
ABR
MIR4657
MIR3656
RP11-1058B10.1
SNORD108
AC092299.6
MIR2110
MIR423
MIR6758
FBXO6
SNORD42A
hsa-mir-3607
FBRSL1
MIR1292
MIR6869
CTD-2514A21.4
MIR3064
SNORA17A
MIR4709
SNORD116-21
RP11-401E14.1
MIR6834
RF00019
MIR4315-2
SNORD57
RP5-832C2.8
MIR6831
MIR632
CLCF1
MIR6742
CKS1A
SNORD73A
SNORD49B
SNORD38B
CTD-2342N23.3
MIR6733
HS1BP3
RF00407
MIR155
MIR3620
MIR4315-1
NMRAL1
MIR1181
SNORD86
SNORD35A
RNU1-67P
SNORD25
RF01684
RBFOX3
MIR1281
MIR6743
MIR1248
RP11-109E12.1
RF00019
MIR6755
RP11-701H24.4
MIR4720
SLC5A10
MIR378I
SNORD84
RNU6-521P
AP5S1
RP11-351O1.2
AC083862.6
AC112217.2
RNA5SP206
MAP1LC3B2
XKR8
RPS2P45
MIR888
RP11-589P10.5
TRIM54
RP11-862L9.3
ANGPTL6
XXbac-BPG254B15.10
RP5-1147A1.2
AGBL3
EIF1AP1
RNA5SP520
AC104451.2
XXbac-BPG170G13.32
AC012362.3
C9orf9
CTC-550B14.6
RP11-291L22.9
AC055740.2
PXN
RP11-159F24.6
ZNF585A
CTC-222D7.1
EPOP
TRAV8-3
RP6-159A1.2
AC005562.1
CTB-52I2.4
DBNDD1
CHD5
RF02108
AC025335.1
RF00019
RAB11FIP3
STAC3
MIR1469
RF00019
SLC17A9
RP11-90M2.5
RF00017
LY6E
RP11-556I14.3
RNU2-59P
RNA5SP353
RP4-548D19.4
MIR2909
