LTR35A
LTR34
L1M6_5end
L1ME3E_3end
ALU
HERV-Fc1
LTR21B
L1M3C_5
L2C
L1ME3
SVA_D
LTR16A1
LTR13
HERV3
LTR52
MER9
LTR70
LTR22B2
L1ME5
MER57E2
MIR
AluYb9
MER4D
RMER10B
LTR80B
SVA_E
LTR10B1
LTR13A
MER21A
MER68A
SVA_B
MLT1J1
HERVK22I
MER9B
SVA_C
LTR16B2
LTR2752
SVA_F
LTR2B
AluSg1
MER21
LTR40C
AluYh9
LTR25
SVA_A
L2
L1MC5
AluYa8
LTR18A
HARLEQUIN
AluYk13
LTR41
AluJr4
LTR4
MER70A
MER52A
MER77
AluYb11
MIRc
LTR5_Hs
LTR47A2
AluYa4
L1PA12_5
L1M2A_5
HERVE_a
AluSq10
LTR14
LTR2
AluYg6
L1MD2
AluYk11
AluYc5
MER90a_LTR
LTR58
L1ME5_3end
LTR57
LTR3A
MER88
LTR5
AluSz6
MER21B
LTR40A
AluJb
MLT1K
AluSg4
LTR60
AluYb8a1
FAM
MER41A
AluJr
MER90
AluYi6
AluJo
L1P4b_5end
LTR65
AluSq2
AluSp
AluYk12
ERV3-16A3_I
AluYe5
LTR19C
L1M3A_5
AluYb10
MLT1H1
X1_LINE
AluYb3a1
L1MB8
LTR7C
AluSq4
AluSc5
LTR61
LTR10A
AluSc
MER21C_BT
AluYa1
PABL_AI
MLT1E
PB1D11
MER21C
LTR79
AluSg7
AluYbc3a
MER66D
AluSx4
LTR22C0
L1MB5
LOR1I
AluSq
AluSc8
L1MB3
AluYd3a1
L1MB7
AluYd8
LTR40B
L1MD1_5
AluYa5
LTR76
LTR1D1
L1MB4
HERVIP10F
LTR77B
THER1
AluSz
LTR24B
LTR38C
X5A_LINE
X5B_LINE
LTR75_1
AluYf2
MER68B
AluSx3
MER48
MER68_I
L1MD1
MER52C
MLT1H
L1MC3
AluYc2
L1MA8
L1PA11
L1MEB_5
LTR5B
L1MED_5
LTR2C
X20_LINE
L1PBA1_5
AluYb3a2
L1MEf_5end
LTR18C
MER74B
L1ME1
LTR1F
MER83
MER51A
MER50I
L1PA7_5
LTR85a
L1PA5
HERV35I
LTR28
HAL1
L1PA6
L1MB2
LTR80A
AluYf5
MLT1F1
MER4B
THE1A
LTR40A1
L1MC1
MER66A
LTR1E
LTR21A
MLT1G2
AluYb8
MER110I
FLAM
MER66C
LTR12C
PrimLTR79
